s,curvature,elevation,grade,bank_angle,dz_ds
0.0,0.03333333333333333,0.000643203031724052,0.0,0.0,-0.010025772007226798
0.02,0.03333333333333333,0.00043852909738686203,0.0,0.0,-0.010441621426492194
0.04,0.03333333333333333,0.00022553817466436422,0.0,0.0,-0.010798798542269955
0.06,0.03333333333333333,6.5771556960639354e-06,0.0,0.0,-0.011036778685915074
0.08,0.03333333333333333,-0.00021593297277223872,0.0,0.0,-0.011152535992663998
0.1,0.03333333333333333,-0.0004395242840104961,0.0,0.0,-0.011144418597009865
0.12,0.03333333333333333,-0.0006617097166526333,0.0,0.0,-0.011012172950074926
0.14,0.03333333333333333,-0.0008800112020134933,0.0,0.0,-0.010756951557410813
0.16,0.03333333333333333,-0.0010919877789490658,0.0,0.0,-0.010381303957696968
0.18,0.03333333333333333,-0.0012952633603213718,0.0,0.0,-0.00988915097162317
0.2,0.03333333333333333,-0.0014875538178139927,0.0,0.0,-0.00928574245985312
0.22,0.03333333333333333,-0.0016666930587154966,0.0,0.0,-0.008577599036665641
0.24,0.03333333333333333,-0.0018306577792806182,0.0,0.0,-0.007772438388958941
0.26,0.03333333333333333,-0.0019775905942738545,0.0,0.0,-0.0068790870461331935
0.28,0.03333333333333333,-0.0021058212611259463,0.0,0.0,-0.005907378632364985
0.3,0.03333333333333333,-0.002213885739568454,0.0,0.0,-0.0048680398064999755
0.32,0.03333333333333333,-0.0023005428533859453,0.0,0.0,-0.0037725652539128338
0.34,0.03333333333333333,-0.0023647883497249673,0.0,0.0,-0.0026330832370890303
0.36,0.03333333333333333,-0.0024058661828695064,0.0,0.0,-0.001462213335456805
0.38,0.03333333333333333,-0.0024232768831432393,0.0,0.0,-0.0002729181084500862
0.4,0.03333333333333333,-0.0024167829072075098,0.0,0.0,0.0009216495024995247
0.42,0.03333333333333333,-0.0023864109030432585,0.0,0.0,0.0021083011585156866
0.44,0.03333333333333333,-0.002332450860866882,0.0,0.0,0.0032739685847608738
0.46,0.03333333333333333,-0.0022554521596528233,0.0,0.0,0.0044058575884294016
0.48,0.03333333333333333,-0.002156216557329706,0.0,0.0,0.005491598726535381
0.5,0.03333333333333333,-0.002035788210591408,0.0,0.0,0.006519392754911681
0.52,0.03333333333333333,-0.0018954408471332387,0.0,0.0,0.007478149051977884
0.54,0.03333333333333333,-0.0017366622485122927,0.0,0.0,0.008357615296266767
0.56,0.03333333333333333,-0.0015611362352825676,0.0,0.0,0.009148496784382551
0.58,0.03333333333333333,-0.0013707223771369911,0.0,0.0,0.00984256390467544
0.6,0.03333333333333333,-0.001167433679095551,0.0,0.0,0.01043274642985173
0.62,0.03333333333333333,-0.0009534125199429216,0.0,0.0,0.010913213457125131
0.64,0.03333333333333333,-0.0007309051408105453,0.0,0.0,0.011279438005263077
0.66,0.03333333333333333,-0.0005022349997323982,0.0,0.0,0.011528245471680009
0.68,0.03333333333333333,-0.0002697753219433445,0.0,0.0,0.01165784535709381
0.7000000000000001,0.03333333333333333,-3.5921185448645336e-05,0.0,0.0,0.011667845877562229
0.72,0.03333333333333333,0.00019693851315914378,0.0,0.0,0.01155925130121241
0.74,0.03333333333333333,0.0004264488665998502,0.0,0.0,0.011334442066850258
0.76,0.03333333333333333,0.0006503161958331544,0.0,0.0,0.010997137961030199
0.78,0.03333333333333333,0.0008663343850410586,0.0,0.0,0.010552344846224745
0.8,0.03333333333333333,0.0010724099896821447,0.0,0.0,0.010006285642636805
0.8200000000000001,0.03333333333333333,0.001266585810746531,0.0,0.0,0.00936631646719686
0.84,0.03333333333333333,0.001447062648370018,0.0,0.0,0.008640829022748653
0.86,0.03333333333333333,0.0016122189716564765,0.0,0.0,0.007839140505861097
0.88,0.03333333333333333,0.0017606282686044624,0.0,0.0,0.006971372460797508
0.9,0.03333333333333333,0.0018910738700883773,0.0,0.0,0.006048320147826192
0.92,0.03333333333333333,0.00200256107451751,0.0,0.0,0.005081314114407216
0.9400000000000001,0.03333333333333333,0.002094326434664666,0.0,0.0,0.004082075756240325
0.96,0.03333333333333333,0.0021658441047671226,0.0,0.0,0.0030625687303916863
0.98,0.03333333333333333,0.0022168291838803333,0.0,0.0,0.0020348481337275418
1.0,0.03333333333333333,0.002247238030116224,0.0,0.0,0.0010109093859782328
1.02,0.03333333333333333,0.0022572655593194628,0.0,0.0,2.5387575674634677e-06
1.04,0.03333333333333333,0.0022473395804189227,0.0,0.0,-0.0009788325421567282
1.06,0.03333333333333333,0.0022181122576331934,0.0,0.0,-0.0019222688501574145
1.08,0.03333333333333333,0.002170448826412626,0.0,0.0,-0.0028174633161616378
1.1,0.03333333333333333,0.0021054137249867278,0.0,0.0,-0.003654862255380781
1.12,0.03333333333333333,0.0020242543361973946,0.0,0.0,-0.004425779011993876
1.1400000000000001,0.03333333333333333,0.0019283825645069726,0.0,0.0,-0.005122495897922047
1.16,0.03333333333333333,0.0018193545002805137,0.0,0.0,-0.005738352930203777
1.18,0.03333333333333333,0.0016988484472988225,0.0,0.0,-0.006267822265717184
1.2,0.03333333333333333,0.001568641609651826,0.0,0.0,-0.006706567421782113
1.22,0.03333333333333333,0.0014305857504275379,0.0,0.0,-0.007051486572802523
1.24,0.03333333333333333,0.0012865821467397248,0.0,0.0,-0.007300739423914335
1.26,0.03333333333333333,0.0011385561734709641,0.0,0.0,-0.007453757379795013
1.28,0.03333333333333333,0.000988431851547924,0.0,0.0,-0.007511236947495482
1.3,0.03333333333333333,0.0008381066955711445,0.0,0.0,-0.007475116533442048
1.32,0.03333333333333333,0.0006894271902102418,0.0,0.0,-0.007348537013690291
1.34,0.03333333333333333,0.0005441652150235327,0.0,0.0,-0.007135786670187263
1.36,0.03333333333333333,0.0004039957234027511,0.0,0.0,-0.006842231291372718
1.3800000000000001,0.03333333333333333,0.00027047596336862375,0.0,0.0,-0.00647423043018878
1.4000000000000001,0.03333333333333333,0.0001450265061951997,0.0,0.0,-0.006039040993878988
1.42,0.03333333333333333,2.8914323613465237e-05,0.0,0.0,-0.0055447095054305525
1.44,0.03333333333333333,-7.676187402202125e-05,0.0,0.0,-0.0049999545239385835
1.46,0.03333333333333333,-0.00017108385734407826,0.0,0.0,-0.00441404083858855
1.48,0.03333333333333333,-0.00025332350756556343,0.0,0.0,-0.003796647156662519
1.5,0.03333333333333333,-0.00032294974361057915,0.0,0.0,-0.0031577290885704025
1.52,0.03333333333333333,-0.0003796326711083796,0.0,0.0,-0.0025073792912844277
1.54,0.03333333333333333,-0.00042324491526195637,0.0,0.0,-0.0018556866649461212
1.56,0.03333333333333333,-0.00045386013770622456,0.0,0.0,-0.0012125965053742683
1.58,0.03333333333333333,-0.00047174877547692716,0.0,0.0,-0.0005877734976306101
1.6,0.03333333333333333,-0.000477371077611449,0.0,0.0,9.530607055654658e-06
1.62,0.03333333333333333,-0.0004713675511947009,0.0,0.0,0.000570602856263579
1.6400000000000001,0.03333333333333333,-0.00045454696336090576,0.0,0.0,0.0010873868198604877
1.6600000000000001,0.03333333333333333,-0.00042787207840028137,0.0,0.0,0.001552590602485698
1.68,0.03333333333333333,-0.00039244333926147815,0.0,0.0,0.001959783710442092
1.7,0.03333333333333333,-0.00034948072998259796,0.0,0.0,0.00230348149248826
1.72,0.03333333333333333,-0.0003003040795619477,0.0,0.0,0.0025792160452126614
1.74,0.03333333333333333,-0.0002463120881740914,0.0,0.0,0.002783592659646378
1.76,0.03333333333333333,-0.00018896037317609246,0.0,0.0,0.0029143310840131793
1.78,0.03333333333333333,-0.0001297388448135641,0.0,0.0,0.0029702910853456437
1.8,0.03333333333333333,-7.014872976226664e-05,0.0,0.0,0.0029514820072992893
1.82,0.03333333333333333,-1.1679564521592444e-05,0.0,0.0,0.0028590562399661984
1.84,0.03333333333333333,4.4213519836381384e-05,0.0,0.0,0.002695286736868421
1.86,0.03333333333333333,9.613190495314449e-05,0.0,0.0,0.002463528931626651
1.8800000000000001,0.03333333333333333,0.0001427546771014475,0.0,0.0,0.002168167619102579
1.9000000000000001,0.03333333333333333,0.00018285860971724774,0.0,0.0,0.0018145495702314293
1.92,0.03333333333333333,0.00021533665991070442,0.0,0.0,0.0014089028435164295
1.94,0.03333333333333333,0.00023921472345790458,0.0,0.0,0.0009582439366217655
1.96,0.03333333333333333,0.00025366641737557507,0.0,0.0,0.00047027408622954056
1.98,0.03333333333333333,0.0002580256869070862,0.0,0.0,-4.673382892351249e-05
2.0,0.03333333333333333,0.0002517970642186346,0.0,0.0,-0.0005840562001288218
2.02,0.03333333333333333,0.00023466343890193332,0.0,0.0,-0.0011326457291104403
2.04,0.03333333333333333,0.00020649123505421692,0.0,0.0,-0.0016832628279765385
2.06,0.03333333333333333,0.00016733292578287174,0.0,0.0,-0.002226609552191889
2.08,0.03333333333333333,0.0001174268529665413,0.0,0.0,-0.0027534642073057305
2.1,0.03333333333333333,5.719435749064241e-05,0.0,0.0,-0.0032548147628849258
2.12,0.03333333333333333,-1.2765737548855855e-05,0.0,0.0,-0.0037219892253669918
2.14,0.03333333333333333,-9.168521152403738e-05,0.0,0.0,-0.004146781165107345
2.16,0.03333333333333333,-0.0001786369841531498,0.0,0.0,-0.004521568661151138
2.18,0.03333333333333333,-0.0002725479579700831,0.0,0.0,-0.004839425019278111
2.2,0.03333333333333333,-0.0003722139849242744,0.0,0.0,-0.005094219733384713
2.22,0.03333333333333333,-0.00047631674730547175,0.0,0.0,-0.005280708295713138
2.24,0.03333333333333333,-0.0005834423167528001,0.0,0.0,-0.005394609615954473
2.2600000000000002,0.03333333333333333,-0.0006921011319436509,0.0,0.0,-0.005432669980727086
2.2800000000000002,0.03333333333333333,-0.0008007491159818837,0.0,0.0,-0.0053927126710054535
2.3000000000000003,0.03333333333333333,-0.0009078096387838692,0.0,0.0,-0.005273672553202321
2.32,0.03333333333333333,-0.0010116960181099743,0.0,0.0,-0.00507561516706688
2.34,0.03333333333333333,-0.0011108342454665423,0.0,0.0,-0.004799740047504688
